,date,open,high,low,close,volume
13784,2023-07-13 20:40:00+00:00,31468.26,31488.89,31445.01,31445.01,200.41174
13785,2023-07-13 20:45:00+00:00,31445.02,31485.76,31445.01,31472.41,133.36542
13786,2023-07-13 20:50:00+00:00,31472.41,31500.15,31448.19,31452.0,316.18136
13787,2023-07-13 20:55:00+00:00,31452.01,31455.34,31282.48,31372.91,429.53928
13788,2023-07-13 21:00:00+00:00,31372.92,31390.0,31221.01,31294.03,314.34085
13789,2023-07-13 21:05:00+00:00,31294.03,31320.0,31000.0,31120.45,703.42981
13790,2023-07-13 21:10:00+00:00,31120.45,31200.0,31066.7,31160.55,307.14426
13791,2023-07-13 21:15:00+00:00,31160.54,31242.39,31160.0,31173.64,297.60646
13792,2023-07-13 21:20:00+00:00,31173.65,31176.79,31080.69,31096.81,266.52477
13793,2023-07-13 21:25:00+00:00,31096.81,31182.17,31068.22,31155.78,203.90256
13794,2023-07-13 21:30:00+00:00,31155.79,31196.0,31106.69,31143.89,171.9999
13795,2023-07-13 21:35:00+00:00,31143.89,31205.41,31143.88,31182.06,172.01132
13796,2023-07-13 21:40:00+00:00,31182.07,31276.95,31182.06,31260.01,230.51485
13797,2023-07-13 21:45:00+00:00,31260.02,31287.54,31225.7,31275.23,134.82534
13798,2023-07-13 21:50:00+00:00,31275.24,31280.18,31212.97,31279.84,111.13311
13799,2023-07-13 21:55:00+00:00,31279.84,31280.0,31251.86,31254.01,74.49442
13800,2023-07-13 22:00:00+00:00,31254.0,31279.13,31223.54,31279.13,114.73965
13801,2023-07-13 22:05:00+00:00,31279.12,31320.8,31279.12,31316.64,240.20267
13802,2023-07-13 22:10:00+00:00,31316.64,31318.0,31300.0,31311.91,75.28554
13803,2023-07-13 22:15:00+00:00,31311.92,31341.84,31304.0,31329.12,134.1677
13804,2023-07-13 22:20:00+00:00,31329.13,31364.67,31320.59,31354.32,184.11797
13805,2023-07-13 22:25:00+00:00,31354.32,31354.32,31291.32,31292.49,225.45038
13806,2023-07-13 22:30:00+00:00,31292.49,31324.91,31292.49,31301.67,154.46406
13807,2023-07-13 22:35:00+00:00,31301.67,31308.0,31207.51,31223.52,205.79743
13808,2023-07-13 22:40:00+00:00,31223.52,31285.09,31215.69,31277.1,108.03413
13809,2023-07-13 22:45:00+00:00,31277.11,31332.01,31251.78,31319.26,124.75448
13810,2023-07-13 22:50:00+00:00,31319.27,31327.18,31298.0,31300.04,60.65113
13811,2023-07-13 22:55:00+00:00,31300.05,31326.59,31300.04,31309.17,98.94393
13812,2023-07-13 23:00:00+00:00,31309.17,31383.32,31305.27,31380.02,126.82819
13813,2023-07-13 23:05:00+00:00,31380.01,31389.0,31360.02,31361.43,96.08031
13814,2023-07-13 23:10:00+00:00,31361.43,31381.86,31351.15,31362.31,77.74848
13815,2023-07-13 23:15:00+00:00,31362.31,31372.49,31347.09,31372.49,69.32827
13816,2023-07-13 23:20:00+00:00,31372.48,31398.0,31372.48,31386.4,138.13167
13817,2023-07-13 23:25:00+00:00,31386.41,31386.49,31352.92,31369.99,95.15478
13818,2023-07-13 23:30:00+00:00,31369.99,31416.01,31367.51,31402.24,109.81983
13819,2023-07-13 23:35:00+00:00,31402.25,31419.24,31375.76,31390.0,133.07703
13820,2023-07-13 23:40:00+00:00,31390.0,31493.99,31369.39,31479.7,260.89937
13821,2023-07-13 23:45:00+00:00,31479.69,31499.99,31425.83,31431.99,205.00566
